date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:52	3321/3321	---MCZ	200	added ('OK')	text/html	etag:W/%22cf9-AIlLheDfA6RfJEO7KG/QaDB62hE%22	https://quizzory.com/images/file_copy-24px.svg	C:/My%20Web%20Sites/test/quizzory.com/images/file_copy-24px.html	(from https://quizzory.com/images/file_copy.svg)
10:03:53	3321/3321	---MCZ	200	added ('OK')	text/html	etag:W/%22cf9-AIlLheDfA6RfJEO7KG/QaDB62hE%22	https://quizzory.com/images/visibility-24px.svg	C:/My%20Web%20Sites/test/quizzory.com/images/visibility-24px.html	(from https://quizzory.com/images/view.svg)
10:03:53	3321/3321	---MCZ	200	added ('OK')	text/html	etag:W/%22cf9-AIlLheDfA6RfJEO7KG/QaDB62hE%22	https://quizzory.com/images/signal_wifi_off-24px.svg	C:/My%20Web%20Sites/test/quizzory.com/images/signal_wifi_off-24px.html	(from https://quizzory.com/images/no_signal.svg)
10:03:53	3321/3321	---MCZ	200	added ('OK')	text/html	etag:W/%22cf9-AIlLheDfA6RfJEO7KG/QaDB62hE%22	https://quizzory.com/images/notifications-24px.svg	C:/My%20Web%20Sites/test/quizzory.com/images/notifications-24px.html	(from https://quizzory.com/images/notifications.svg)
10:03:53	3321/3321	---MCZ	200	added ('OK')	text/html	etag:W/%22cf9-AIlLheDfA6RfJEO7KG/QaDB62hE%22	https://quizzory.com/images/insert_chart-24px.svg	C:/My%20Web%20Sites/test/quizzory.com/images/insert_chart-24px.html	(from https://quizzory.com/images/chart.svg)
10:03:54	3321/3321	---MCZ	200	added ('OK')	text/html	etag:W/%22cf9-AIlLheDfA6RfJEO7KG/QaDB62hE%22	https://quizzory.com/images/cloud_download-24px.svg	C:/My%20Web%20Sites/test/quizzory.com/images/cloud_download-24px.html	(from https://quizzory.com/images/export.svg)
10:03:54	3321/3321	---MCZ	200	added ('OK')	text/html	etag:W/%22cf9-AIlLheDfA6RfJEO7KG/QaDB62hE%22	https://quizzory.com/images/image-24px.svg	C:/My%20Web%20Sites/test/quizzory.com/images/image-24px.html	(from https://quizzory.com/images/theme.svg)
10:03:54	2442/2442	---M--	200	added ('OK')	image/png	etag:W/%2298a-1797a337431%22	https://quizzory.com/images/favicon.png	C:/My%20Web%20Sites/test/quizzory.com/images/favicon.png	(from https://quizzory.com/privacypolicy)
10:03:54	554/554	---M--	200	added ('OK')	image/svg+xml	etag:W/%2222a-1797a337431%22	https://quizzory.com/images/error.svg	C:/My%20Web%20Sites/test/quizzory.com/images/error.svg	(from https://quizzory.com/images/file_copy-24px.svg)
10:03:55	139311/139311	---M--	200	added ('OK')	image/png	etag:W/%222202f-1797a3374a9%22	https://quizzory.com/images/web_mob_view.png	C:/My%20Web%20Sites/test/quizzory.com/images/web_mob_view.png	(from https://quizzory.com/css/home.css)
